"ESC" "CESC" "MES" "CMES" "CM" "CP" "HB" "HE" "HP" "MAC"
"Sergef" 1.13799057588083 1.04411777666368 1.89571514545071 2.21768326497848 1.66625965249363 0.646737951386521 2.00809008349386 1.24470847171785 1.80263344230078 2.65636866369201
"Bcl7a" 2.20669382595033 2.55077578214454 2.84435945525556 3.49607969630369 3.11623741095327 3.47890332999462 2.12992727345705 1.40352361636017 2.41938162770576 0.255116094847798
"Lnx2" 2.05385573695766 2.50027000244213 1.86310190864523 1.80295071257861 1.93065335577696 1.33287553747166 2.28959547846399 2.37718804475882 2.19526456004879 2.87219214803713
"Ppia" 10.0747143293891 10.3420724680694 9.82683692072574 10.1604299008511 9.5995569618381 9.50995440398876 1.91636113730033 1.53393643399073 2.08637884650123 0.819857037213304
"Gkn1" -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209
"Lrat" -6.1227834744073 -6.09012834599993 -6.22921425163975 -7.16025491559982 -6.34823967283521 -7.41263937994356 -8.4326111918178 -5.64103095155899 -6.95067734555693 -5.62095407903405
"Nup210" 3.06978336434922 3.59632754693027 2.2388314292234 1.72627134813558 1.22513100415225 2.38803962548167 2.35328688574588 0.810519547127127 3.4966418166004 0.256040298550467
"Olfr862" -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209
"Grem2" -5.52477193413577 -8.94517442326251 -5.28411590194786 -3.82270244742293 -4.13052368116904 -1.07749490407373 -3.40529101020486 0.861286438450733 -0.596995333659389 -9.96578428466209
"Il10rb" -1.20030477040654 -1.65117348193377 0.641791179895399 1.23589509507552 2.4512329381996 1.63727952542047 1.17122396199219 2.2621351338742 2.93715202103484 6.62412604044868
"Rho" -9.96578428466209 -8.99130090091213 -5.17622603274277 -4.29944930439193 -4.08090628354227 -4.0940955905061 -4.49130253855151 -3.0763200295447 -5.22631438142899 -3.48880805446644
"Wls" 3.4884411690276 3.03119015584426 5.7160072270907 5.47120032364082 5.32290190359557 5.75707715205686 6.83125844394819 6.27860052379393 5.31603465991485 6.23736602453753
"Icmt" 3.29226536567505 3.44901542011204 3.71101036699729 3.86893661794087 3.74656056123442 3.68847466508526 3.86787526027691 3.99260370737647 3.96797421042938 3.73417563597695
"Svs1" -9.96578428466209 -9.96578428466209 -5.14497674518533 -3.90012099522105 -5.41791772463385 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209
"Caprin1" 8.9912025232832 8.70514360924394 9.28275188427119 8.75860726846076 8.40296624386169 8.574474540067 9.90622689673413 9.70499756084227 9.79489987080659 8.28277988882361
"Arrdc5" -7.78943188247018 -5.97361341987545 -5.37143283614136 -5.97557630055035 -9.96578428466209 -9.96578428466209 -5.16497671261095 -9.96578428466209 -3.78722266909829 -9.96578428466209
"Scarb1" 4.53658335114618 4.46127271805434 4.82479850968741 5.20557154838886 6.75985258502017 6.25590667800125 5.45177184142215 6.76959041519193 7.14749853323433 7.08885360452733
"Mcat" 3.53608425150386 3.66477802023874 3.40385289851818 3.37268508773948 3.37174240607332 3.3761344049159 3.73386773908093 3.67359708244169 3.7165028097533 3.77026512519476
