"ESC" "CESC" "MES" "CMES" "CM" "CP" "HB" "HE" "HP" "MAC"
"merge.105629" 2.56820271041402 2.58062790347345 0.916835386731912 1.52567414670703 0.412993188214802 0.533095866186451 1.67846910344728 -0.13194970085808 0.990456566285404 0.814460857172701
"merge.105630" 2.44097490963268 1.6429856115671 0.579761142043275 2.1639965089558 1.55150230226153 1.74881390652969 3.10671321123078 0.763158193619537 1.64980183094138 2.36167164127114
"merge.105632" 1.30810596147294 0.737180387808675 0.92147904169761 1.53224008261493 1.15761565594007 1.10915387074573 1.2070315997831 0.788989490080453 1.20599279742821 4.02461068969385
"merge.105643" 0.024002624613511 -0.30863069751998 0.675416333876459 0.295090168929022 1.38505483091458 0.789887211853632 0.703830492102762 3.27885142662163 1.5171622072806 5.49478754857759
"merge.105644" 1.24260337917488 1.27217411344261 1.91497122629605 2.24363350980324 2.25431882574731 2.69060412759591 3.72038294060964 2.86123611695001 3.39010365284203 0.658215117657321
"merge.105650" 2.54822746772438 3.03953002587324 3.88577614773639 3.09257264679141 2.13488284350535 1.51246023964251 4.09953848252734 2.2658193544736 1.34448458651813 -3.36520306825059
"merge.105652" 2.85211885715673 2.24128766673886 3.05219924822066 2.51459570033134 1.78475550510798 0.563167725131065 2.78637491060293 2.67858386196053 5.35644241104417 4.76861829852929
"merge.105653" 1.80420025290318 1.63101367466855 1.75785357702491 2.02350130154127 2.17821733501673 1.2418686913794 1.77280525317261 3.0996059583701 4.40444556148368 3.95118266916701
"merge.105654" 0.548525505486223 1.05235488345192 2.6079282437718 2.61745315007611 1.93115893776552 1.51252371765865 3.60608431219227 1.61123024589626 2.25179905558393 2.68934758740284
"merge.105655" 2.11598845714372 0.910753618270394 1.59195931216779 1.77670041679718 1.45461250473377 1.43954791041149 1.71208376614132 2.27417997401187 2.5192634377682 5.52003022662887
"merge.105656" 2.26748326257417 0.931289767744238 2.56528449993645 2.56496946729835 1.23503298570401 1.27640846034161 3.39177341536337 0.96252791089443 4.27018187945691 3.69632401475668
"merge.105657" 0.854125517812385 0.377111675762014 -0.549118119344948 1.03214054372989 0.752286647632939 0.63952362057138 0.325471812367979 3.00214493145211 3.270863545099 3.5868130306606
"merge.105658" 1.26880432932693 1.52497433825637 1.67723245810967 2.28728833976606 2.57276091999155 1.36371317180182 2.29635007172552 4.1094768484978 3.54949928519962 3.63909093048088
"merge.105659" 2.08935949366927 1.42392845954857 1.42215066340407 2.05606371074109 2.25243622314287 1.59289160232271 1.50753436304385 4.20171577658228 2.3045082968494 -0.723814542115789
"merge.105660" 1.34764909730641 1.07145281420618 2.37167381682572 2.61436938980666 1.55762580838085 1.11883061545353 4.28793348920605 2.43774774889593 4.02394148622305 2.04001244456725
"merge.105662" 0.96936520483085 0.505759783370108 1.95651678788918 2.88360736286789 1.88786912910304 1.13045756491114 3.94543706547485 2.48477118068844 1.83871786559992 2.22073422031176
"merge.105667" 1.51550433634994 0.493754999414827 3.67214831385339 2.63212249752791 1.86972229430694 1.58760863714969 3.04892829372306 1.38374674259514 3.60008590505764 1.60837881696193
"merge.105668" 2.08001021390201 1.6275765805824 0.78800070846458 2.65614955167358 2.39244021948933 1.73324717154539 3.07749294155707 2.70660165968277 0.772149404299435 0.63558536219135
"merge.105669" 1.37230230755653 0.742316250325074 2.83439993346256 2.37361940650991 1.86751659773191 1.49343867176626 3.31608712214004 1.45060813511994 1.29061773083632 1.47660946772419
"merge.105674" 0.504815119935004 0.774718986333659 0.230233092220149 1.23493313077969 2.37770206581783 0.671769034184649 1.73032326174912 2.29338539553957 1.78060511662459 4.8707604387526
