"ESC_ESRRB" "ESC_NANOG" "ESC_OCT4" "ESC_SOX2" "MES_CEBPB" "MES_ELK4" "MES_OCT4" "HB_CEBPB" "HB_GATA2" "HB_LMO2" "HB_TAL1" "HB_TEAD4" "HE_CEBPB" "HE_FLI1" "HE_LMO2" "HE_MEIS1" "HE_TAL1" "HP_CEBPB" "HP_FLI1" "HP_GATA1" "HP_GATA2" "HP_GFI1B" "HP_GFI1" "HP_LMO2" "HP_PU1" "HP_RUNX1" "HP_TAL1" "MAC_CEBPB" "MAC_FLI1" "MAC_LMO2" "MAC_PU1" "MAC_RUNX1" "MAC_TAL1"
"merge.105677" 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"merge.105727" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
"merge.105746" 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"merge.105753" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
"merge.105769" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
"merge.105629" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"merge.105630" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"merge.105632" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
"merge.105643" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
"merge.105644" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"merge.105650" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
