"chr" "start" "end" "peak" "gene" "distance"
"7786" "chr16" 92514276 92515568 "merge.105629" "Runx1" 85898
"7792" "chr16" 92515907 92516390 "merge.105630" "Runx1" 85076
"7797" "chr16" 92522863 92525592 "merge.105632" "Runx1" 75874
"7815" "chr16" 92572528 92574113 "merge.105643" "Runx1" 27353
"7820" "chr16" 92579265 92579735 "merge.105644" "Runx1" 21731
"7824" "chr16" 92605464 92606424 "merge.105650" "Runx1" 3000
"7826" "chr16" 92608465 92608625 "merge.105652" "Runx1" 3000
"7829" "chr16" 92608517 92609977 "merge.105653" "Runx1" 3000
"7831" "chr16" 92610190 92611212 "merge.105654" "Runx1" 3000
"7832" "chr16" 92612173 92612929 "merge.105655" "Runx1" 3000
"7834" "chr16" 92613490 92613724 "merge.105656" "Runx1" 3000
"7836" "chr16" 92615872 92616722 "merge.105657" "Runx1" 3000
"7838" "chr16" 92619599 92623217 "merge.105658" "Runx1" 3000
"7840" "chr16" 92623747 92624619 "merge.105659" "Runx1" 3000
"7842" "chr16" 92626412 92626670 "merge.105660" "Runx1" 3000
"7846" "chr16" 92630530 92634122 "merge.105662" "Runx1" 3000
"7854" "chr16" 92642098 92642353 "merge.105667" "Runx1" 3000
"7857" "chr16" 92643903 92646519 "merge.105668" "Runx1" 3000
"7858" "chr16" 92651943 92653500 "merge.105669" "Runx1" 3000
"7862" "chr16" 92673438 92677815 "merge.105674" "Runx1" 3000
"7864" "chr16" 92683762 92687534 "merge.105677" "Runx1" 3000
"7865" "chr16" 92692747 92700581 "merge.105680" "Runx1" 3000
"7866" "chr16" 92709650 92711636 "merge.105684" "Runx1" 3000
"7867" "chr16" 92713521 92714272 "merge.105687" "Runx1" 3000
"7868" "chr16" 92714648 92716874 "merge.105688" "Runx1" 3000
"7874" "chr16" 92754307 92755305 "merge.105697" "Runx1" 3000
"7875" "chr16" 92777561 92779166 "merge.105700" "Runx1" 3000
"7876" "chr16" 92780060 92780499 "merge.105701" "Runx1" 3000
"7878" "chr16" 92785377 92787492 "merge.105703" "Runx1" 3000
"7879" "chr16" 92790695 92790839 "merge.105704" "Runx1" 3000
"7880" "chr16" 92790743 92791137 "merge.105705" "Runx1" 3000
"7881" "chr16" 92801161 92801587 "merge.105707" "Runx1" 3000
"7882" "chr16" 92801504 92802110 "merge.105708" "Runx1" 3000
"7883" "chr16" 92810186 92810400 "merge.105711" "Runx1" 3000
"7884" "chr16" 92810299 92810473 "merge.105712" "Runx1" 3000
"7885" "chr16" 92811882 92812507 "merge.105714" "Runx1" 3000
"7886" "chr16" 92818487 92819606 "merge.105716" "Runx1" 3000
"7887" "chr16" 92820060 92820259 "merge.105717" "Runx1" 3000
"7888" "chr16" 92821006 92826810 "merge.105718" "Runx1" 736
"7889" "chr16" 92827208 92829180 "merge.105719" "Runx1" 1134
"7892" "chr16" 92851980 92852737 "merge.105723" "Runx1" 25906
"7893" "chr16" 92856523 92857373 "merge.105724" "Runx1" 30449
"7894" "chr16" 92863283 92865902 "merge.105727" "Runx1" 37209
"7895" "chr16" 92866724 92868636 "merge.105728" "Runx1" 40650
"7896" "chr16" 92883425 92884501 "merge.105731" "Runx1" 57351
"7904" "chr16" 92995142 92998054 "merge.105746" "Runx1" 169068
"7905" "chr16" 93006266 93008351 "merge.105749" "Runx1" 180192
"7910" "chr16" 93027519 93029613 "merge.105753" "Runx1" 201445
"7911" "chr16" 93031382 93034683 "merge.105754" "Runx1" 205308
"7912" "chr16" 93047180 93048981 "merge.105756" "Runx1" 221106
"7913" "chr16" 93071183 93072574 "merge.105759" "Runx1" 245109
"7918" "chr16" 93084287 93084958 "merge.105761" "Runx1" 258213
"7921" "chr16" 93098451 93098822 "merge.105768" "Runx1" 272377
"7922" "chr16" 93109531 93111210 "merge.105769" "Runx1" 283457
"7927" "chr16" 93128915 93129439 "merge.105771" "Runx1" 302841
"7928" "chr16" 93129434 93129998 "merge.105772" "Runx1" 303360
"7931" "chr16" 93152815 93153843 "merge.105780" "Runx1" 326741
"7932" "chr16" 93179655 93180869 "merge.105784" "Runx1" 353581
"200808" "chr6" 122606467 122610568 "merge.212503" "Nanog" 96921
"200822" "chr6" 122626663 122628001 "merge.212506" "Nanog" 79488
"200831" "chr6" 122633318 122633839 "merge.212508" "Nanog" 73650
"200835" "chr6" 122635259 122636888 "merge.212509" "Nanog" 70601
"200842" "chr6" 122638549 122639162 "merge.212510" "Nanog" 68327
"200848" "chr6" 122650078 122651296 "merge.212511" "Nanog" 56193
"200853" "chr6" 122652999 122656006 "merge.212512" "Nanog" 51483
"200856" "chr6" 122657312 122658153 "merge.212513" "Nanog" 49336
"200862" "chr6" 122661165 122664067 "merge.212515" "Nanog" 43422
"200871" "chr6" 122669313 122669859 "merge.212519" "Nanog" 37630
"200876" "chr6" 122670292 122670630 "merge.212520" "Nanog" 36859
"200882" "chr6" 122701618 122704032 "merge.212525" "Nanog" 3457
"200885" "chr6" 122706473 122707170 "merge.212527" "Nanog" 319
"200890" "chr6" 122707053 122708188 "merge.212528" "Nanog" 436
"200891" "chr6" 122708454 122709154 "merge.212529" "Nanog" 3000
"200898" "chr6" 122711448 122711948 "merge.212531" "Nanog" 3000
"200901" "chr6" 122714766 122716642 "merge.212533" "Nanog" 133
"200911" "chr6" 122739741 122740534 "merge.212539" "Nanog" 25108
"200915" "chr6" 122741228 122744815 "merge.212540" "Nanog" 26595
"200916" "chr6" 122744735 122745526 "merge.212541" "Nanog" 30102
"200919" "chr6" 122755924 122766865 "merge.212544" "Nanog" 41291
"200923" "chr6" 122768051 122771176 "merge.212545" "Nanog" 53418
"200928" "chr6" 122772569 122773069 "merge.212546" "Nanog" 57936
"200934" "chr6" 122785612 122786200 "merge.212550" "Nanog" 70979
"200945" "chr6" 122801009 122802327 "merge.212552" "Nanog" 86376
"200950" "chr6" 122804402 122804914 "merge.212553" "Nanog" 89769
"200954" "chr6" 122809507 122813843 "merge.212554" "Nanog" 94874
"277949" "chr9" 32330668 32332834 "merge.248601" "Fli1" 89370
"277953" "chr9" 32335587 32336140 "merge.248602" "Fli1" 86064
"277959" "chr9" 32343428 32345071 "merge.248604" "Fli1" 77133
"277963" "chr9" 32345885 32346500 "merge.248605" "Fli1" 75704
"277966" "chr9" 32347944 32350377 "merge.248606" "Fli1" 71827
"277972" "chr9" 32352622 32352966 "merge.248607" "Fli1" 69238
"277974" "chr9" 32360523 32361563 "merge.248608" "Fli1" 60641
"277978" "chr9" 32369036 32370023 "merge.248610" "Fli1" 52181
"277981" "chr9" 32398937 32402583 "merge.248613" "Fli1" 19621
"277985" "chr9" 32405245 32405755 "merge.248614" "Fli1" 16449
"277988" "chr9" 32408544 32409925 "merge.248615" "Fli1" 12279
"277990" "chr9" 32444930 32445528 "merge.248621" "Fli1" 3000
"277992" "chr9" 32474990 32477127 "merge.248625" "Fli1" 3000
"277995" "chr9" 32478152 32480164 "merge.248626" "Fli1" 3000
"277996" "chr9" 32500232 32503451 "merge.248628" "Fli1" 3000
"277997" "chr9" 32503883 32510825 "merge.248629" "Fli1" 3000
"277999" "chr9" 32515692 32522798 "merge.248631" "Fli1" 3000
"278000" "chr9" 32523880 32531667 "merge.248632" "Fli1" 3000
"278001" "chr9" 32537679 32545631 "merge.248634" "Fli1" 3773
"278002" "chr9" 32548458 32550817 "merge.248636" "Fli1" 7006
"278003" "chr9" 32555680 32558063 "merge.248638" "Fli1" 14228
"278006" "chr9" 32564504 32565720 "merge.248641" "Fli1" 23052
"278007" "chr9" 32581761 32582714 "merge.248644" "Fli1" 40309
"278008" "chr9" 32591682 32593164 "merge.248648" "Fli1" 50230
"278009" "chr9" 32594517 32596038 "merge.248649" "Fli1" 53065
"278013" "chr9" 32604070 32608987 "merge.248651" "Fli1" 62618
"278015" "chr9" 32612255 32612755 "merge.248654" "Fli1" 70803
"278016" "chr9" 32612692 32614323 "merge.248655" "Fli1" 71240
"278018" "chr9" 32616050 32620509 "merge.248656" "Fli1" 74598
"278021" "chr9" 32628710 32630470 "merge.248658" "Fli1" 87258
"278022" "chr9" 32635900 32637297 "merge.248659" "Fli1" 94448
